gene_name,Dmel,Dsec,Dsim,Dmel_m,Dmel_f,Dsec_m1,Dsec_m2,Dsec_m3,Dsec_f1,Dsec_f2,Dsec_f3,Dsec_m4,Dsec_m5,Dsec_m6,Dsec_f4,Dsec_f5,Dsec_f6,Dsim_m1,Dsim_m2,Dsim_m3,Dsim_f1,Dsim_f2,Dsim_f3
Syx6,FBgn0037084,FBgn0176139,FBgn0182536,36.5389,35.8084,24.0017,26.7881,26.326,23.8178,24.0624,25.2433,34.6118,34.4005,35.6369,33.6144,35.3425,35.2337,47.3949,50.2043,48.6956,46.9895,46.6131,49.3526
Syx8,FBgn0036643,FBgn0179251,FBgn0184188,19.8236,19.2989,13.0717,13.3531,13.6233,10.6432,13.6702,10.2365,18.3696,21.1998,19.8293,16.9609,17.9771,17.9466,23.7083,25.1629,26.3883,24.7213,28.5462,28.7349
T-cp1,FBgn0003676,FBgn0178509,FBgn0041667,40.0812,38.9882,19.3354,19.6994,19.3375,19.108,20.6322,21.1342,29.7153,30.4282,31.1754,32.8627,32.7546,32.605,32.5443,32.4624,35.0049,30.6433,29.4497,31.4985
T3dh,FBgn0017482,FBgn0170564,FBgn0196446,2.15022,2.50805,5.35178,6.04367,5.26519,4.53923,5.84674,6.00352,8.1758,7.79241,7.68193,8.78373,8.5589,8.25276,3.81403,4.17053,3.86018,4.30822,4.04849,4.15422
T48,FBgn0004359,FBgn0165301,FBgn0192750,17.3454,16.8102,13.732,14.0385,13.8087,13.3205,13.8273,12.2698,17.503,18.0987,17.2306,20.0354,19.1084,20.0421,20.6687,19.6166,19.1126,24.1069,24.292,22.2197
TBCB,FBgn0034451,FBgn0174713,FBgn0186885,23.2556,23.0493,14.1869,12.8443,12.0535,12.8237,11.3994,12.9197,19.3812,19.8194,19.6275,18.5363,17.4455,19.2139,29.9614,33.9391,34.8704,30.7566,31.8891,33.3638
TBPH,FBgn0025790,FBgn0170420,FBgn0196318,42.1655,39.3618,32.6825,34.3351,35.793,29.4564,30.4128,29.5474,46.2744,48.2101,49.1183,46.1325,45.903,49.525,52.8318,54.7946,55.0499,56.5529,55.005,57.6072
TER94,FBgn0261014,FBgn0176054,FBgn0182471,125.777,126.785,80.1795,81.7208,81.611,76.6746,76.6319,77.3448,106.242,107.33,106.393,115.384,115.3,114.486,111.284,112.86,110.85,118.275,116.213,114.746
TFAM,FBgn0038805,FBgn0178050,FBgn0191537,25.125,23.4389,17.3973,18.5928,16.8364,17.1408,14.9788,17.179,24.1993,23.8932,24.3808,26.4343,24.3378,23.211,25.9375,25.4597,25.0803,27.2206,25.9886,28.5628
TH1,FBgn0010416,FBgn0168334,FBgn0187412,9.63714,10.1173,5.56763,6.58103,5.73028,5.41423,5.33214,5.1647,6.3308,6.41258,6.28529,5.48748,5.75412,5.76962,9.69025,10.2279,9.62218,8.3394,9.17819,8.83942
TM4SF,FBgn0020372,FBgn0170971,FBgn0183543,193.753,187.062,117.374,115.361,117.519,103.128,113.042,106.303,200.861,201.831,202.433,202.861,201.695,201.901,489.394,506.659,498.92,457.585,462.984,452.127
TM9SF4,FBgn0028541,FBgn0170077,FBgn0195285,36.1517,36.4702,21.6146,21.6617,21.6041,20.8662,20.4991,20.748,27.9496,29.6319,30.146,30.7192,30.0672,28.7712,26.4713,27.9629,25.7959,26.7194,28.1273,29.7379
TMS1,FBgn0028399,FBgn0180493,FBgn0186320,125.455,120.722,102.951,102.816,100.048,94.4119,96.4099,96.966,144.418,151.437,145.195,143.621,145.176,145.379,180.528,183.183,176.181,172.538,175.738,178.866
TRAM,FBgn0040340,FBgn0174003,FBgn0188139,17.7323,15.272,12.0356,10.635,12.2628,8.26354,8.971,8.71142,13.6519,14.2118,13.736,10.6344,12.6153,11.9736,20.7377,20.5896,22.3029,16.9953,18.7552,19.2775
TSG101,FBgn0036666,FBgn0180517,FBgn0186345,55.1251,55.5761,41.7007,40.6899,40.5784,41.5168,42.8001,42.2702,59.2594,59.303,57.5242,57.1657,57.5797,58.6485,73.5717,73.992,72.91,72.3059,70.6393,72.2472
TTLL3B,FBgn0031853,FBgn0171128,FBgn0194812,0.1086,0.145182,0.249764,0.303535,0.273764,0.2354,0.445103,0.182629,1.43392,1.80295,1.96389,0.597793,0.565293,0.843359,5.66858,5.47765,5.73863,0.152753,0.0906003,0.138528
